EXPERIMENT,SCALE,ENCODING,NOTE,RUN_ID,RUNTIME_US
"TPC-DS_CatalogSales",1,"Dictionary","multi-threaded",0,198596
"TPC-DS_CatalogSales",1,"Dictionary","multi-threaded",1,222974
"TPC-DS_CatalogSales",1,"Dictionary","multi-threaded",2,229813
"TPC-DS_CatalogSales",1,"Dictionary","multi-threaded",3,217221
"TPC-DS_CatalogSales",1,"Dictionary","multi-threaded",4,217424
"TPC-DS_CatalogSales",1,"Dictionary","multi-threaded",5,229246
"TPC-DS_CatalogSales",1,"Dictionary","multi-threaded",6,225696
"TPC-DS_CatalogSales",1,"Dictionary","multi-threaded",7,220116
"TPC-DS_CatalogSales",1,"Dictionary","multi-threaded",8,241938
"TPC-DS_CatalogSales",1,"Dictionary","multi-threaded",9,217291
"TPC-DS_Customer_Strings",1,"Dictionary","multi-threaded",0,43411
"TPC-DS_Customer_Strings",1,"Dictionary","multi-threaded",1,45846
"TPC-DS_Customer_Strings",1,"Dictionary","multi-threaded",2,49301
"TPC-DS_Customer_Strings",1,"Dictionary","multi-threaded",3,56372
"TPC-DS_Customer_Strings",1,"Dictionary","multi-threaded",4,63177
"TPC-DS_Customer_Strings",1,"Dictionary","multi-threaded",5,68244
"TPC-DS_Customer_Strings",1,"Dictionary","multi-threaded",6,66569
"TPC-DS_Customer_Strings",1,"Dictionary","multi-threaded",7,71172
"TPC-DS_Customer_Strings",1,"Dictionary","multi-threaded",8,69059
"TPC-DS_Customer_Strings",1,"Dictionary","multi-threaded",9,68050
"TPC-DS_Customer_Integers",1,"Dictionary","multi-threaded",0,19635
"TPC-DS_Customer_Integers",1,"Dictionary","multi-threaded",1,20581
"TPC-DS_Customer_Integers",1,"Dictionary","multi-threaded",2,21645
"TPC-DS_Customer_Integers",1,"Dictionary","multi-threaded",3,25009
"TPC-DS_Customer_Integers",1,"Dictionary","multi-threaded",4,26006
"TPC-DS_Customer_Integers",1,"Dictionary","multi-threaded",5,28112
"TPC-DS_Customer_Integers",1,"Dictionary","multi-threaded",6,29333
"TPC-DS_Customer_Integers",1,"Dictionary","multi-threaded",7,31389
"TPC-DS_Customer_Integers",1,"Dictionary","multi-threaded",8,28354
"TPC-DS_Customer_Integers",1,"Dictionary","multi-threaded",9,28105
"TPC-DS_CatalogSales",1,"Unencoded","multi-threaded",0,203207
"TPC-DS_CatalogSales",1,"Unencoded","multi-threaded",1,212859
"TPC-DS_CatalogSales",1,"Unencoded","multi-threaded",2,219854
"TPC-DS_CatalogSales",1,"Unencoded","multi-threaded",3,220832
"TPC-DS_CatalogSales",1,"Unencoded","multi-threaded",4,224072
"TPC-DS_CatalogSales",1,"Unencoded","multi-threaded",5,222895
"TPC-DS_CatalogSales",1,"Unencoded","multi-threaded",6,216265
"TPC-DS_CatalogSales",1,"Unencoded","multi-threaded",7,210648
"TPC-DS_CatalogSales",1,"Unencoded","multi-threaded",8,219508
"TPC-DS_CatalogSales",1,"Unencoded","multi-threaded",9,220678
"TPC-DS_Customer_Strings",1,"Unencoded","multi-threaded",0,40040
"TPC-DS_Customer_Strings",1,"Unencoded","multi-threaded",1,41594
"TPC-DS_Customer_Strings",1,"Unencoded","multi-threaded",2,45897
"TPC-DS_Customer_Strings",1,"Unencoded","multi-threaded",3,51163
"TPC-DS_Customer_Strings",1,"Unencoded","multi-threaded",4,56469
"TPC-DS_Customer_Strings",1,"Unencoded","multi-threaded",5,61248
"TPC-DS_Customer_Strings",1,"Unencoded","multi-threaded",6,62366
"TPC-DS_Customer_Strings",1,"Unencoded","multi-threaded",7,59992
"TPC-DS_Customer_Strings",1,"Unencoded","multi-threaded",8,61195
"TPC-DS_Customer_Strings",1,"Unencoded","multi-threaded",9,60475
"TPC-DS_Customer_Integers",1,"Unencoded","multi-threaded",0,18435
"TPC-DS_Customer_Integers",1,"Unencoded","multi-threaded",1,20022
"TPC-DS_Customer_Integers",1,"Unencoded","multi-threaded",2,20884
"TPC-DS_Customer_Integers",1,"Unencoded","multi-threaded",3,23842
"TPC-DS_Customer_Integers",1,"Unencoded","multi-threaded",4,24435
"TPC-DS_Customer_Integers",1,"Unencoded","multi-threaded",5,27628
"TPC-DS_Customer_Integers",1,"Unencoded","multi-threaded",6,27099
"TPC-DS_Customer_Integers",1,"Unencoded","multi-threaded",7,29416
"TPC-DS_Customer_Integers",1,"Unencoded","multi-threaded",8,27480
"TPC-DS_Customer_Integers",1,"Unencoded","multi-threaded",9,27976
