EXPERIMENT,SCALE,ENCODING,NOTE,PAYLOAD_COLS,RUN_ID,TOTAL_US,MATERIALIZE_US,RUN_GEN_US,MERGE_US,WRITE_OUT_US
"TPC-DS_CatalogSales_Wide",1,"Dictionary","multi-threaded",30,0,716438,12629,15283,84808,598360
"TPC-DS_CatalogSales_Wide",1,"Dictionary","multi-threaded",30,1,725580,14113,16162,85669,602928
"TPC-DS_CatalogSales_Wide",1,"Dictionary","multi-threaded",30,2,730201,15764,15215,82546,610265
"TPC-DS_CatalogSales_Wide",1,"Dictionary","multi-threaded",30,3,750445,16502,15901,76319,634680
"TPC-DS_CatalogSales_Wide",1,"Dictionary","multi-threaded",30,4,754799,15362,15442,86781,630586
"TPC-DS_CatalogSales_Wide",1,"Dictionary","multi-threaded",30,5,707832,15087,15723,82706,587907
"TPC-DS_CatalogSales_Wide",1,"Dictionary","multi-threaded",30,6,724440,14067,15977,91192,596873
"TPC-DS_CatalogSales_Wide",1,"Dictionary","multi-threaded",30,7,714419,14912,16225,82306,594209
"TPC-DS_CatalogSales_Wide",1,"Dictionary","multi-threaded",30,8,707837,14155,15887,90445,580596
"TPC-DS_CatalogSales_Wide",1,"Dictionary","multi-threaded",30,9,706657,14020,15912,93084,577192
"TPC-DS_Customer_Strings_Wide",1,"Dictionary","multi-threaded",16,0,92264,6753,7947,3340,72152
"TPC-DS_Customer_Strings_Wide",1,"Dictionary","multi-threaded",16,1,84088,15826,19557,4185,40151
"TPC-DS_Customer_Strings_Wide",1,"Dictionary","multi-threaded",16,2,118755,16144,17634,4333,76197
"TPC-DS_Customer_Strings_Wide",1,"Dictionary","multi-threaded",16,3,92904,7889,8873,3406,70242
"TPC-DS_Customer_Strings_Wide",1,"Dictionary","multi-threaded",16,4,98825,15916,19193,4484,55119
"TPC-DS_Customer_Strings_Wide",1,"Dictionary","multi-threaded",16,5,125490,15953,19134,4410,80840
"TPC-DS_Customer_Strings_Wide",1,"Dictionary","multi-threaded",16,6,104073,12208,12751,3910,72129
"TPC-DS_Customer_Strings_Wide",1,"Dictionary","multi-threaded",16,7,103917,15904,16971,4289,62271
"TPC-DS_Customer_Strings_Wide",1,"Dictionary","multi-threaded",16,8,112088,15852,19360,4356,68303
"TPC-DS_Customer_Strings_Wide",1,"Dictionary","multi-threaded",16,9,111680,15017,16151,4115,72491
"TPC-DS_Customer_Integers_Wide",1,"Dictionary","multi-threaded",15,0,95215,2611,9668,3601,78631
"TPC-DS_Customer_Integers_Wide",1,"Dictionary","multi-threaded",15,1,78108,2435,9599,3652,61502
"TPC-DS_Customer_Integers_Wide",1,"Dictionary","multi-threaded",15,2,82770,2540,9724,4022,65576
"TPC-DS_Customer_Integers_Wide",1,"Dictionary","multi-threaded",15,3,100393,2369,9430,3781,84078
"TPC-DS_Customer_Integers_Wide",1,"Dictionary","multi-threaded",15,4,77630,2712,9592,3774,60651
"TPC-DS_Customer_Integers_Wide",1,"Dictionary","multi-threaded",15,5,81717,3036,9056,3809,64866
"TPC-DS_Customer_Integers_Wide",1,"Dictionary","multi-threaded",15,6,84550,2657,9557,3790,67596
"TPC-DS_Customer_Integers_Wide",1,"Dictionary","multi-threaded",15,7,84379,2750,9471,3625,67332
"TPC-DS_Customer_Integers_Wide",1,"Dictionary","multi-threaded",15,8,84773,3012,9539,3787,67498
"TPC-DS_Customer_Integers_Wide",1,"Dictionary","multi-threaded",15,9,77582,2905,9757,3659,60540
"TPC-H_Lineitem_ByShipdate_payload1",1,"Dictionary","multi-threaded",1,0,624723,66052,50835,329131,155497
