config,key_type,distribution,rows,cols,mt,real_time_s,run_gen_s,merge_s,materialize_s
base,int32,ascending,10000000,1,0,0.893619505,0.576171526,0.0273965683,0.0455090967
base,int32,dup128,10000000,1,0,1.12911031,0.827078896,0.027569203,0.045468059
base,int32,random,1000000,1,0,0.107763047,0.0976732917,0.00214463867,0.004612078
base,int32,random,10000000,1,0,1.53203035,1.21580564,0.0276322753,0.0455003617
base,int32,random,10000000,5,0,8.19734393,6.07250634,0.137914383,1.40340458
base,int32,random,50000000,1,0,7.56786001,6.68409312,0.139156968,0.228158518
base,int32,uniform,10000000,1,0,1.50238813,1.1882572,0.027529668,0.045303588
base,int32,zipf099,10000000,1,0,1.31654826,1.00070193,0.0273843,0.0453802673
base,int32,zipf099,10000000,5,0,7.15867644,5.000467,0.137469619,1.43439984
base,str_sso,random,1000000,1,0,0.427929863,0.390152646,0.0109451047,0.0178233023
base,str_sso,random,10000000,1,0,4.86449381,4.30794523,0.0631387927,0.177773994
base,str_sso,zipf099,10000000,1,0,4.518267,4.06054189,0.0632268947,0.177881215
base,str_var,random,1000000,1,0,0.997630946,0.644142689,0.00627721033,0.315613216
base,str_var,random,10000000,1,0,9.92739238,8.67608815,0.0632114267,0.513724484
base,str_var,zipf099,10000000,1,0,8.2299445,7.11452698,0.0634318843,0.500572998
binary_radix,int32,ascending,10000000,1,0,1.57802955,0.774369028,0.515402401,0.0916395693
binary_radix,int32,dup128,10000000,1,0,3.0281376,0.36488604,2.28518953,0.084650875
binary_radix,int32,random,1000000,1,0,0.185407106,0.0588564067,0.112119389,0.00744076867
binary_radix,int32,random,1000000,1,1,0.0454126447,0.0139777903,0.0249397417,0.003117309
binary_radix,int32,random,10000000,1,0,4.80168569,0.539919845,3.83294071,0.114234884
binary_radix,int32,random,10000000,1,1,1.07008789,0.0953061533,0.945053651,0.0121975783
binary_radix,int32,random,10000000,5,0,9.69238841,0.623556209,8.08568419,0.28588317
binary_radix,int32,random,10000000,5,1,1.44570266,0.0847817883,1.13256956,0.0415916857
binary_radix,int32,random,50000000,1,0,36.6690589,3.07978784,32.4065965,0.458759644
binary_radix,int32,random,50000000,1,1,4.75866688,0.399057142,3.93721552,0.071346854
binary_radix,int32,uniform,10000000,1,0,4.70781294,0.528394417,3.7814779,0.136823815
