EXPERIMENT,SCALE,ENCODING,NOTE,RUN_ID,RUNTIME_US
"TPC-DS_CatalogSales",10,"Dictionary","multi-threaded",0,2812608
"TPC-DS_CatalogSales",10,"Dictionary","multi-threaded",1,2796110
"TPC-DS_CatalogSales",10,"Dictionary","multi-threaded",2,2767191
"TPC-DS_CatalogSales",10,"Dictionary","multi-threaded",3,2833432
"TPC-DS_CatalogSales",10,"Dictionary","multi-threaded",4,2844739
"TPC-DS_CatalogSales",10,"Dictionary","multi-threaded",5,2785845
"TPC-DS_CatalogSales",10,"Dictionary","multi-threaded",6,2795539
"TPC-DS_CatalogSales",10,"Dictionary","multi-threaded",7,2788701
"TPC-DS_CatalogSales",10,"Dictionary","multi-threaded",8,3094374
"TPC-DS_CatalogSales",10,"Dictionary","multi-threaded",9,3001305
"TPC-DS_Customer_Strings",10,"Dictionary","multi-threaded",0,98785
"TPC-DS_Customer_Strings",10,"Dictionary","multi-threaded",1,102128
"TPC-DS_Customer_Strings",10,"Dictionary","multi-threaded",2,110163
"TPC-DS_Customer_Strings",10,"Dictionary","multi-threaded",3,152530
"TPC-DS_Customer_Strings",10,"Dictionary","multi-threaded",4,152540
"TPC-DS_Customer_Strings",10,"Dictionary","multi-threaded",5,157833
"TPC-DS_Customer_Strings",10,"Dictionary","multi-threaded",6,160123
"TPC-DS_Customer_Strings",10,"Dictionary","multi-threaded",7,139999
"TPC-DS_Customer_Strings",10,"Dictionary","multi-threaded",8,154673
"TPC-DS_Customer_Strings",10,"Dictionary","multi-threaded",9,142735
"TPC-DS_Customer_Integers",10,"Dictionary","multi-threaded",0,50287
"TPC-DS_Customer_Integers",10,"Dictionary","multi-threaded",1,57274
"TPC-DS_Customer_Integers",10,"Dictionary","multi-threaded",2,60053
"TPC-DS_Customer_Integers",10,"Dictionary","multi-threaded",3,71195
"TPC-DS_Customer_Integers",10,"Dictionary","multi-threaded",4,73272
"TPC-DS_Customer_Integers",10,"Dictionary","multi-threaded",5,72966
"TPC-DS_Customer_Integers",10,"Dictionary","multi-threaded",6,73823
"TPC-DS_Customer_Integers",10,"Dictionary","multi-threaded",7,73721
"TPC-DS_Customer_Integers",10,"Dictionary","multi-threaded",8,73780
"TPC-DS_Customer_Integers",10,"Dictionary","multi-threaded",9,73053
"TPC-DS_CatalogSales",10,"Unencoded","multi-threaded",0,2849826
"TPC-DS_CatalogSales",10,"Unencoded","multi-threaded",1,2921575
"TPC-DS_CatalogSales",10,"Unencoded","multi-threaded",2,2987913
"TPC-DS_CatalogSales",10,"Unencoded","multi-threaded",3,3007212
"TPC-DS_CatalogSales",10,"Unencoded","multi-threaded",4,2922899
"TPC-DS_CatalogSales",10,"Unencoded","multi-threaded",5,2889699
"TPC-DS_CatalogSales",10,"Unencoded","multi-threaded",6,2887918
"TPC-DS_CatalogSales",10,"Unencoded","multi-threaded",7,2946882
"TPC-DS_CatalogSales",10,"Unencoded","multi-threaded",8,2982764
"TPC-DS_CatalogSales",10,"Unencoded","multi-threaded",9,2851254
"TPC-DS_Customer_Strings",10,"Unencoded","multi-threaded",0,120053
"TPC-DS_Customer_Strings",10,"Unencoded","multi-threaded",1,111355
"TPC-DS_Customer_Strings",10,"Unencoded","multi-threaded",2,127078
"TPC-DS_Customer_Strings",10,"Unencoded","multi-threaded",3,144281
"TPC-DS_Customer_Strings",10,"Unencoded","multi-threaded",4,125565
"TPC-DS_Customer_Strings",10,"Unencoded","multi-threaded",5,144628
"TPC-DS_Customer_Strings",10,"Unencoded","multi-threaded",6,147830
"TPC-DS_Customer_Strings",10,"Unencoded","multi-threaded",7,145043
"TPC-DS_Customer_Strings",10,"Unencoded","multi-threaded",8,139879
"TPC-DS_Customer_Strings",10,"Unencoded","multi-threaded",9,148499
"TPC-DS_Customer_Integers",10,"Unencoded","multi-threaded",0,47446
"TPC-DS_Customer_Integers",10,"Unencoded","multi-threaded",1,50412
"TPC-DS_Customer_Integers",10,"Unencoded","multi-threaded",2,61422
"TPC-DS_Customer_Integers",10,"Unencoded","multi-threaded",3,72855
"TPC-DS_Customer_Integers",10,"Unencoded","multi-threaded",4,71951
"TPC-DS_Customer_Integers",10,"Unencoded","multi-threaded",5,71534
"TPC-DS_Customer_Integers",10,"Unencoded","multi-threaded",6,74627
"TPC-DS_Customer_Integers",10,"Unencoded","multi-threaded",7,74215
"TPC-DS_Customer_Integers",10,"Unencoded","multi-threaded",8,72605
"TPC-DS_Customer_Integers",10,"Unencoded","multi-threaded",9,69154
