EXPERIMENT,SCALE,ENCODING,NOTE,PAYLOAD_COLS,RUN_ID,TOTAL_US,MATERIALIZE_US,RUN_GEN_US,MERGE_US,WRITE_OUT_US
"TPC-DS_CatalogSales_Wide",1,"Dictionary","multi-threaded",30,0,4094364,253987,57836,241521,3394065
"TPC-DS_CatalogSales_Wide",1,"Dictionary","multi-threaded",30,1,3988859,215494,48619,232172,3362814
"TPC-DS_CatalogSales_Wide",1,"Dictionary","multi-threaded",30,2,3866709,216617,48445,232303,3242155
"TPC-DS_CatalogSales_Wide",1,"Dictionary","multi-threaded",30,3,3909699,216660,50695,237730,3278110
"TPC-DS_CatalogSales_Wide",1,"Dictionary","multi-threaded",30,4,3869867,215935,48356,214645,3252537
"TPC-DS_CatalogSales_Wide",1,"Dictionary","multi-threaded",30,5,3851651,216474,51132,233152,3223078
"TPC-DS_CatalogSales_Wide",1,"Dictionary","multi-threaded",30,6,3831887,215480,47802,198836,3243271
"TPC-DS_CatalogSales_Wide",1,"Dictionary","multi-threaded",30,7,3785937,215493,48765,182600,3212677
"TPC-DS_CatalogSales_Wide",1,"Dictionary","multi-threaded",30,8,3790949,215151,48728,184711,3216145
"TPC-DS_CatalogSales_Wide",1,"Dictionary","multi-threaded",30,9,3842263,216501,49554,199437,3250326
"TPC-DS_Customer_Strings_Wide",1,"Dictionary","multi-threaded",16,0,550278,95301,43758,21636,356610
"TPC-DS_Customer_Strings_Wide",1,"Dictionary","multi-threaded",16,1,555711,95015,44241,22876,361321
"TPC-DS_Customer_Strings_Wide",1,"Dictionary","multi-threaded",16,2,556918,94731,44225,23215,362363
"TPC-DS_Customer_Strings_Wide",1,"Dictionary","multi-threaded",16,3,552863,95540,43605,21611,359475
"TPC-DS_Customer_Strings_Wide",1,"Dictionary","multi-threaded",16,4,572027,95460,43896,23313,376166
"TPC-DS_Customer_Strings_Wide",1,"Dictionary","multi-threaded",16,5,552366,95284,44384,22166,358126
"TPC-DS_Customer_Strings_Wide",1,"Dictionary","multi-threaded",16,6,568943,98728,45825,23212,368400
"TPC-DS_Customer_Strings_Wide",1,"Dictionary","multi-threaded",16,7,563336,95430,44509,24727,366434
"TPC-DS_Customer_Strings_Wide",1,"Dictionary","multi-threaded",16,8,548108,95033,44830,21970,353295
"TPC-DS_Customer_Strings_Wide",1,"Dictionary","multi-threaded",16,9,542359,95545,43767,19405,351671
"TPC-DS_Customer_Integers_Wide",1,"Dictionary","multi-threaded",15,0,434115,53093,18181,14940,333347
"TPC-DS_Customer_Integers_Wide",1,"Dictionary","multi-threaded",15,1,426368,56737,18170,16915,320059
"TPC-DS_Customer_Integers_Wide",1,"Dictionary","multi-threaded",15,2,408779,52883,18177,12760,306242
"TPC-DS_Customer_Integers_Wide",1,"Dictionary","multi-threaded",15,3,419058,53915,18866,12451,315121
"TPC-DS_Customer_Integers_Wide",1,"Dictionary","multi-threaded",15,4,455633,53035,18267,14789,354774
"TPC-DS_Customer_Integers_Wide",1,"Dictionary","multi-threaded",15,5,417663,53071,18282,12551,319431
"TPC-DS_Customer_Integers_Wide",1,"Dictionary","multi-threaded",15,6,422805,53221,18321,14909,321822
"TPC-DS_Customer_Integers_Wide",1,"Dictionary","multi-threaded",15,7,418956,53159,18350,14469,318567
"TPC-DS_Customer_Integers_Wide",1,"Dictionary","multi-threaded",15,8,419759,53624,18306,15184,318141
"TPC-DS_Customer_Integers_Wide",1,"Dictionary","multi-threaded",15,9,431051,53160,19841,13242,330276
"TPC-H_Lineitem_ByShipdate_payload1",1,"Dictionary","multi-threaded",1,0,10525293,518309,163295,1626456,7908431
"TPC-H_Lineitem_ByShipdate_payload1",1,"Dictionary","multi-threaded",1,1,10462112,512917,160523,1622785,7857632
"TPC-H_Lineitem_ByShipdate_payload1",1,"Dictionary","multi-threaded",1,2,10599966,518755,161016,1654449,7952598
"TPC-H_Lineitem_ByShipdate_payload1",1,"Dictionary","multi-threaded",1,3,10592916,517863,166243,1623002,7955236
"TPC-H_Lineitem_ByShipdate_payload1",1,"Dictionary","multi-threaded",1,4,10565423,514400,174887,1592866,7942753
"TPC-H_Lineitem_ByShipdate_payload1",1,"Dictionary","multi-threaded",1,5,10657824,513465,170198,1635367,7998149
"TPC-H_Lineitem_ByShipdate_payload1",1,"Dictionary","multi-threaded",1,6,10580074,518882,171576,1641569,7909658
"TPC-H_Lineitem_ByShipdate_payload1",1,"Dictionary","multi-threaded",1,7,10525471,513114,172705,1621177,7881192
"TPC-H_Lineitem_ByShipdate_payload1",1,"Dictionary","multi-threaded",1,8,10636584,512680,173773,1625637,7985452
"TPC-H_Lineitem_ByShipdate_payload1",1,"Dictionary","multi-threaded",1,9,10618623,515662,168376,1625629,7969850
"TPC-H_Lineitem_ByShipdate_payload4",1,"Dictionary","multi-threaded",4,0,11089808,511489,173217,1659926,8434600
"TPC-H_Lineitem_ByShipdate_payload4",1,"Dictionary","multi-threaded",4,1,11191224,549818,161078,1629604,8520698
"TPC-H_Lineitem_ByShipdate_payload4",1,"Dictionary","multi-threaded",4,2,11176839,507565,172320,1630413,8526748
"TPC-H_Lineitem_ByShipdate_payload4",1,"Dictionary","multi-threaded",4,3,11746214,513983,172731,1902923,8847581
"TPC-H_Lineitem_ByShipdate_payload4",1,"Dictionary","multi-threaded",4,4,11197293,515321,163989,1631649,8551177
"TPC-H_Lineitem_ByShipdate_payload4",1,"Dictionary","multi-threaded",4,5,11136323,515313,171198,1577715,8562460
"TPC-H_Lineitem_ByShipdate_payload4",1,"Dictionary","multi-threaded",4,6,11079458,513161,166698,1630383,8458844
"TPC-H_Lineitem_ByShipdate_payload4",1,"Dictionary","multi-threaded",4,7,11273789,522461,163741,1659564,8609587
"TPC-H_Lineitem_ByShipdate_payload4",1,"Dictionary","multi-threaded",4,8,11107984,516695,169372,1587967,8517537
"TPC-H_Lineitem_ByShipdate_payload4",1,"Dictionary","multi-threaded",4,9,11459724,513884,165371,1878905,8583727
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,0,11993787,518348,167499,1635598,9350893
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,1,11951186,511846,168516,1611090,9344654
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,2,12047725,515280,162858,1627227,9427058
